id,twitid,date,text,beeline,mts,megafon,tele2,rostelecom,komstar,skylink
122,615792502851810000,1435651348,Арбитражный суд Тамбовской области подтвердил МТС своей рекламой вводило потребителей в заблуждение  http://t.co/izLWG7wgxF,,-1,,,,,
123,615792501509660000,1435651347,#Плата за пользование кредитом доверия на мтс http://t.co/Xm19UhWsMn,,0,,,,,
241,615847413803300000,1435664439,RT @yana_garani: Против рекламы МТС об отмене роуминга ФАС возбудило дело,,-1,,,,,
124,615792855693590000,1435651432,"@Beeline_RUS Опять #Билайн удивляет, переадресация платная 3,5, даже если тариф с пакетом минут. Вы чего сума сошли! У #МТС из пакета...(",-1,1,,,,,
125,615793297546590000,1435651537,@Elenk0 Интернет проводной? #билайн,0,,,,,,
126,615793974926800000,1435651699,RT @davidoyakixoz: http://t.co/eFTaAOc7Jd #Как оформить кредитную карту мтс банка,,0,,,,,
127,615794467614950000,1435651816,RT @edwardurihumuv: http://t.co/eTGp4kmtiQ #Оплата кредита мтс банковской картой,,0,,,,,
128,615797096583590000,1435652443,"@apachedota, спасибо за предоставленную информацию. Проведем проверку и постараемся исправить максимально быстро. ^ЕР #МТС",,0,,,,,
129,615797096533340000,1435652443,"#Билайн, отдай мой интернет! Я за него денег плачу, между прочим!",-1,,,,,,
130,615798001722790000,1435652659,RT @paulaxefigez: http://t.co/P5FhbBcVIC #Влияет ли карта мтс деньги на,,0,,,,,
131,615799086990490000,1435652917,"@ru_mts то что на фото, притом вход происходит, баланс я свой вижу на гл.странице, а в ЛК не пускает. http://t.co/WPbKn0RlLk",,-1,,,,,
132,615799508467740000,1435653018,#По кредитным картам мтс http://t.co/KWABlkdqPB,,0,,,,,
133,615799549706110000,1435653028,"@Beeline_RUS покрытие связью на трассе Кукуштан-Чайковский будет улучшаться?Другие операторы ловят, Билайн по несколько км отсутствует связь",-1,,,,,,
134,615800956370830000,1435653363,"RT @Danica6401: собственно, официальный учебный процесс создания интернет-магазина МТС приступить к порталу или русского.",,0,,,,,
135,615801888857030000,1435653586,@vika_kak_vika обычно переходы приводят к камбэкам. а мтс гавно - лет 10 им пользовался как вторым оператором,,-1,,,,,
136,615802903190620000,1435653827,"@HADEHbKA_H, также произведите, пожалуйста, очистку файлов временной памяти. ^ЕР #МТС",,0,,,,,
138,615803223010510000,1435653904,Сотовый оператор МТС обвинен в распространии лживой рекламы - Шанс-online,,-1,,,,,
140,615803263816860000,1435653913,RT @jasonisehafew: #Мегафон кредитная система расчетов http://t.co/NrWaWHr1n5,,,0,,,,
141,615803263393270000,1435653913,"Для активации доступа понадобится ввести логин и пароль из полученного SMS-сообщения. «ВымпелКом» и «Энфорта» вошли в список компаний, обесп",0,,,,,,
142,615806814085450000,1435654760,RT @richardugubamec: #Как узнать задолженность по кредиту мтс банк http://t.co/4oD0sfjWpj,,0,,,,,
143,615807009229810000,1435654806,"@MegaFonHelp сервис временно недоступен. Когда всё же открывается, работает очень медленно. Ссылки открываются по минуте и то не всегда",,,-1,,,,
144,615808263582430000,1435655105,RT @danielepimorer: http://t.co/ePMYXTLjOc #Взять кредитную карту + в мтс,,0,,,,,
145,615808443086040000,1435655148,@sovprezidenta Здравствуйте! Это стоимость комплекта с телефоном. #билайн,0,,,,,,
146,615809782239260000,1435655467,"интересно #follow В 2015 г. ""Ростелеком"" выбрали в качестве интернет-провайдера более 30 тыс. семей в ЮФО И СКФО http://t.co/p6Q4Uns609",,,,,1,,
147,615809914242380000,1435655499,"@megafonru г Н Новгород, Грузинская 48. У неск абонентов мгф глючит второй день",,,-1,,,,
148,615810015966820000,1435655523,RT @lyjyxufimimo: Tele2 завершил юридическую реорганизацию,,,,0,,,
149,615810718881830000,1435655691,Laboxend: «МТС» может прекратить работу на оккупированной...,,0,,,,,
150,615811705952580000,1435655926,RT @aaannett_: ростелеком не щадит никого http://t.co/Hd5QUgKX9a,,,,,-1,,
151,615812814557450000,1435656190,"В 2015 г. ""Ростелеком"" выбрали в качестве интернет-провайдера более 30 тыс. семей в ЮФО И СКФО http://t.co/m2t7FqaHQR",,,,,1,,
152,615812860753530000,1435656201,"RT @LyapunovS: Минюст США заявляет, что ""Вымпелком"" и МТС использовали сеть подставных компаний и фиктивных контрактов о консультационных у…",-1,-1,,,,,
153,615812860648620000,1435656201,"RT @ru_rbc: Минюст США попросил заблокировать счета МТС и «ВымпелКома»
http://t.co/eMH5nH11cz",-1,-1,,,,,
154,615812947495900000,1435656222,@sadrievrr @alfabank @MegaFonHelp Пришлите ваш номер на social@alfabanrk.ru. Будем проверять,,,0,,,,
155,615813123019120000,1435656264,RT @edwardesexuluq: http://t.co/I3MhLhLY9D #Оплатить домашний интернет билайн,0,,,,,,
156,615813434886590000,1435656338,"@katyapetyh жиза
Тебе 18
Лето
Не берут даже продавцом в обоссаный МТС",,-1,,,,,
157,615813474329870000,1435656348,Минюст США попросил заблокировать счета МТС и «Вымпелкома» http://t.co/0pXUmadBrF,-1,-1,,,,,
158,615813620220360000,1435656382,"В 2015 г. ""Ростелеком"" выбрали в качестве интернет-провайдера более 30 тыс. семей в ЮФО И СКФО http://t.co/Q6oOHe63r0",,,,,1,,
159,615813884809630000,1435656446,@Beeline_RUS Здравствуйте! пишу #билайн,0,,,,,,
160,615814667194120000,1435656632,"@poohmanoff, скажите, пожалуйста, вам не понравилось обслуживание нашим специалистом? Готовы выслушать ваши замечания. ^ЕР #МТС",,0,,,,,
161,615814707404910000,1435656642,"США потребовали арестовать $300 млн в рамках ""узбекского дела"" МТС и Vimpelcom",-1,-1,,,,,
278,615876678930140000,1435671417,RT @zhukovevgeniya: Против рекламы МТС об отмене роуминга ФАС возбудило дело,,-1,,,,,
162,615815305814630000,1435656784,"жена стала часто получать смски от MTS... я бы и внимания не обратил, но свою новую любовницу я записал как Beeline.",0,0,,,,,
163,615815755406320000,1435656892,Новости Mail.Ru: Минюст США попросил заблокировать счета МТС и «Вымпелкома» https://t.co/4NDvp85Z6n,-1,-1,,,,,
164,615815753095230000,1435656891,New post: Минюст США попросил заблокировать счета МТС и «ВымпелКома» http://t.co/nPlq8Oj8Vh,-1,-1,,,,,
165,615816742313550000,1435657127,Минюст США хочет заблокировать счета «Вымпелкома» и МТС: http://t.co/quqoQBmQ9g,-1,-1,,,,,
166,615817596462620000,1435657330,Минюст США попросил заблокировать счета МТС и «ВымпелКома»,-1,-1,,,,,
167,615817856941460000,1435657393,http://t.co/dTCil213kO #Как закрыть кредитку мтс,,0,,,,,
168,615819242449990000,1435657723,"поисковая система, позволяющая обеспечивать корпоративным клиентам, которые используются ресурсы Tele2.",,,,0,,,
169,615820169974310000,1435657944,Минюст США попросил заблокировать счета МТС и «ВымпелКома»: http://t.co/5h35C6V1cz,-1,-1,,,,,
170,615820257404390000,1435657965,"Минюст США попросил заблокировать счета российского МТС и ""ВымпелКома"" http://t.co/S1HgodKEBk",-1,-1,,,,,
171,615820254783110000,1435657964,"Минюст США попросил заблокировать счета российского МТС и ""ВымпелКома"" http://t.co/pSKEI6iZAx",-1,-1,,,,,
172,615820297363570000,1435657974,"Минюст США попросил заблокировать счета российского МТС и ""ВымпелКома"" http://t.co/dzuwZAFgpz",-1,-1,,,,,
173,615820603237470000,1435658047,«Ростелеком» обеспечил бесперебойную видеотрансляцию ЕГЭ-2015 из более 93 тысяч видеокамер по всей стране http://t.co/fJuT5G2TON,,,,,1,,
174,615821136048310000,1435658174,"У МТС вышки перегрелись??
Что 3G, что Lte
Работает когда захочет",,-1,,,,,
175,615821309516380000,1435658216,"Минюст США попросил заблокировать счета российского МТС и ""ВымпелКома"" http://t.co/9kQic10eAO",-1,-1,,,,,
176,615821400167700000,1435658237,"Минюст США попросил заблокировать счета российского МТС и ""ВымпелКома"" http://t.co/aZQdzX3HV5",-1,-1,,,,,
177,615821493616930000,1435658260,@Beeline_RUS только плохой и залоченный,-1,,,,,,
178,615821678858350000,1435658304,RT @InfoResist: США просят арестовать счета российских «Вымпелкома» и МТС | InfoResist http://t.co/OnkbZ0iMoI http://t.co/y4vdhKa0Yp,-1,-1,,,,,
179,615821989379500000,1435658378,"@Beeline_RUS там не только с Интернетом беда, а вообще со связью. От Большой Усы до Елово её просто нет.",-1,,,,,,
180,615822091204570000,1435658402,"всем проектам зданий с диагональю 1,5 млрд руб. МТС обеспечит мобильным интернетом от граждан это мир,",,1,,,,,
181,615822626267770000,1435658530,"Минюст США ополчился на Vimpelcom, МТС и Каримова",-1,-1,,,,,
182,615822847123060000,1435658582,http://t.co/nYd2KqmRLH #Как пополнить счет мтс через кредитку,,0,,,,,
183,615822887132530000,1435658592,RT @KhorobrovaNice: мтс условиия предоставления http://t.co/QElsId6i2C #Кредитка,,0,,,,,
184,615822885983230000,1435658592,"RT @UaElise: Минюст США попросил заблокировать счета российского МТС и ""ВымпелКома"" - http://t.co/bvntliIv5V http://t.co/HQ2y3MFAfw",-1,-1,,,,,
185,615823234638970000,1435658675,@eldarmurtazin в салонах МТС подают такие же s6/s6 edge как в связном и евросети? Или они к оператору привязаны?,,0,,,,,
186,615823325999330000,1435658697,"RT @Bizon_tw: То, что должна делать Украина, делает США.
Минюст США попросил заблокировать счета российского МТС и ""ВымпелКома"" http://t.co…",-1,-1,,,,,
187,615824083230590000,1435658877,"RT @a_irina83788: инфраструктуру, даже одного окна для размещения окон и Нижегородской области. Инфраструктура Ростелекома",,,,,0,,
188,615824258166470000,1435658919,Про #Ростелеком. http://t.co/VhPMWyubXw,,,,,0,,
189,615824882929140000,1435659068,"RT @molniatv: Минюст США попросил заблокировать счета МТС и «ВымпелКома» по делу о взятках в Узбекистане
http://t.co/aiubvDYfzt",-1,-1,,,,,
190,615825192573610000,1435659142,"по 3G МТС, Гавриил Гордеев aka Гавр - рассказала Надежда Денисова, директор по централизации информационных",,0,,,,,
191,615825983267050000,1435659330,для skylink mcd 650s http://t.co/8wBgkrD5uC #для драйвера,,,,,,,0
192,615827110771330000,1435659599,МТС в Алтайском крае построил 1100 км волоконно-оптических линий связи http://t.co/rqNXoONNwv,,1,,,,,
193,615828175873040000,1435659853,"RT @augusta360_a: вычислений в выручке. Популярность Билайн Бизнес Солюшенс началось в указанное акционерное соглашение,",0,,,,,,
194,615828486054410000,1435659927,Подбор аналога дисплея на планшет Megafon Login 2 и Login 3..  Сегодня у нас http://t.co/CLugik1Rt2,,,0,,,,
195,615828790367900000,1435659999,RT @alex_exler: Очередные разводки МТС http://t.co/z6zaqRb4MO,,-1,,,,,
196,615828972040010000,1435660043,http://t.co/Yo645eELPy #Мтс коннект 4 кредитовая,,0,,,,,
197,615829730399540000,1435660223,"Специалист по продажам (МТС, Билайн, Мегафон)

Вакансии
35000 руб.Мы - официальный партнер большой четверки... http://t.co/Wal0EJK6eX",0,0,0,,,,
198,615830219233040000,1435660340,RT @robertewuxiveq: #Как закрыть кредитную карту мтс http://t.co/tmJRIo3dcF,,0,,,,,
200,615831473770370000,1435660639,"@Prussianin, здравствуйте. Вы можете воспользоваться сервисом Легкий платеж https://t.co/4UOxOrFAq7 ^РЧ #МТС",,0,,,,,
201,615832412518490000,1435660863,ФАС возбудила дело против МТС после жалобы Yota | АБН | Агентство Бизнес Новосте... http://t.co/ZAq4AyLmlD,,-1,,,,,
202,615833296891590000,1435661074,"Минюст США просит заблокировать счета МТС и ""Вымпелкома""",-1,-1,,,,,
203,615833733095100000,1435661178,RT @tarasmi: Минюст США хочет заблокировать счета «МТС» и «ВымпелКома» http://t.co/YiU7jzwnaF - Штаты хорошо так взялись за российские комп…,-1,-1,,,,,
204,615833964264210000,1435661233,"#pressfeed @ru_mts @Beeline_RUS @Yota_Russia Журнал ""Компания"" просит прокоментировать... https://t.co/BGhooT7vMp http://t.co/oiixzmPNiR",0,0,,,,,
205,615834316275380000,1435661317,"Во Владивостоке 2 крупнейших домашних сети успешно обставляют Ростелеком. Это нормально, абонент не пойдет к другим провайдерам, если его в",,,,,-1,,
206,615834362987330000,1435661328,для билайна флешки http://t.co/oebG1qFppc #флешки драйверы,0,,,,,,
207,615834710615310000,1435661411,Beeline улучшил условия безлимитных тарифов http://t.co/sX8gw83Mu6,1,,,,,,
