term,tone
"подборка,",3.24
"баловать,",3.24
"тю-тю,",3.24
"жизненно,",3.24
"=)))),",3.24
"')))),",3.24
"спасибоооо,",3.24
"наталья,",3.24
"удачный,",3.24
"удивление,",3.24
"Birthday,",3.24
"👭,",3.24
"^___^,",3.24
"днюх,",3.24
"Bang,",3.24
":-))),",3.24
"дин,",3.24
"ихихий,",3.24
"волшебно,",3.24
":'-),",3.24
":-):-):-),",3.24
"приветствовать,",3.24
"зафоловить,",3.24
"funny,",3.24
"самсунг,",3.24
";*,",3.24
"#АндрейТихонов,",3.24
"хахахахах,",3.24
"уииии,",3.24
"прив,",3.24
"ахахахахха,",3.24
"дженнифер,",3.24
"#like,",3.24
"спасииибо,",3.24
"з,",3.2
"обожать,",3.18
"),",3.16
"ахахахах,",3.14
"оттепель,",3.14
"порадовать,",3.14
"💎,",3.14
"navalny,",3.14
"Home,",3.14
"://,",3.11
"😜,",3.08
"боря,",3.04
"спасиб,",3.04
"#DerbyDay.,",3.04
"хорошенький,",3.04
"ахуенить,",3.04
"::::,",3.04
"омномный,",3.04
"нен,",3.04
"умиляться,",3.04
"рождественский,",3.04
"____*,",3.04
"урурур,",3.04
"We,",3.04
"#Газпром,",3.04
"запрягать,",3.04
"мега,",3.04
"3333,",3.04
"🎂,",3.04
"👯,",3.04
"ураураур,",3.04
"#me,",3.04
"👶,",3.04
"#cute,",3.04
"импала,",3.04
"сопредседатель,",3.04
"пальчик,",3.04
"⚽,",3.04
"ааха,",3.04
"lady,",3.04
"ГЫГЫГЫ,",3.04
"няшный,",3.04
"няшечка,",3.04
"любимка,",3.04
"гимназия,",3.04
"☺️❤️,",3.04
"щастье,",3.04
"🚘,",3.04
"машуля,",3.04
"хлопья,",3.04
"🇷,",3.04
"Christian,",3.04
"#РТ,",3.04
"💐,",3.04
"племяшка,",3.04
"шелдон,",3.04
"Ann,",3.04
"запрещение,",3.04
"☺️☺️☺️,",3.04
"mini,",3.04
"обаятельный,",3.04
"круть,",3.04
"белок,",3.04
"ален,",3.04
"уиииииии,",3.04
"#Vegasbirthday,",3.04
"коллектив,",3.04
"увлекательный,",3.04
"филипп,",3.04
"хDD,",3.04
"XDD,",3.04
"ват,",3.04
"атлетико,",3.04
"💫,",3.04
"−,",3.04
")))”,",3.04
"даааааа,",3.04
":))))))))),",3.04
"💕,",3.04
"xDDD,",3.04
"позавидовать,",3.04
"Mall,",3.04
"33333,",3.04
"fly,",3.04
"Sims,",3.04
"house,",3.04
"!:),",3.04
"беспокойный,",3.04
"фантастический,",3.04
"чудесный,",3.01
"):,",3
"красавица,",2.97
"😎,",2.97
":**,",2.97
"отличный,",2.96
"спасиба,",2.94
"зз,",2.94
"вау,",2.94
"^__^,",2.94
"здорово,",2.92
"in,",2.9
"юля,",2.9
"___*,",2.9
"🎊,",2.9
"хах,",2.86
"XD,",2.85
"поздравлять,",2.83
"молодец,",2.83
"😽,",2.82
"серега,",2.82
"люблююю,",2.82
"#autumn,",2.82
"заботливый,",2.82
"With,",2.82
"🍭,",2.82
"тус,",2.82
"милаха,",2.82
"#youthdom,",2.82
"пасип,",2.82
"❤️❤️❤️❤️,",2.82
"rapsinews,",2.82
"тодес,",2.82
"ахахахаххахахахаххах,",2.82
"пчелка,",2.82
"✊,",2.82
"милооо,",2.82
"лизок,",2.82
"Heart,",2.82
"привидеться,",2.82
"чувааак,",2.82
"повеселиться,",2.82
"тарас,",2.82
"сестрорецк,",2.82
"#sweet,",2.82
"агонь,",2.82
"хDDD,",2.82
"ахаз,",2.82
"!;),",2.82
"выступление,",2.82
"#kinopoisk,",2.82
"by,",2.82
"Rowan,",2.82
"красавец,",2.82
"си,",2.82
"целовашка,",2.82
"#ЛокифанФолловьЛокифана,",2.82
"шедевральный,",2.82
"карпин,",2.82
"New,",2.82
"малышка,",2.82
"подарочек,",2.82
"пхахахах,",2.82
"?))),",2.82
"ω,",2.82
"покорный,",2.82
"😉,",2.82
"притаскивать,",2.82
"богдан,",2.82
"1985,",2.82
"молодчина,",2.82
"утречко,",2.82
"ахахх,",2.82
"студия,",2.82
"and,",2.82
"#dance,",2.82
"ставрополь,",2.82
"авва,",2.82
"🌹,",2.82
"))”,",2.82
"расколдовывать,",2.82
"разнообразить,",2.82
"#юмор,",2.82
")',",2.82
"мерси,",2.82
"красотка,",2.82
")))))))))))),",2.82
"уии,",2.82
"прелесть,",2.82
"воооот,",2.82
"злобный,",2.82
"супергерой,",2.82
"ахахахаххах,",2.82
"ссыль,",2.82
"вдохновлять,",2.82
";)))),",2.82
"#vegasbirthday,",2.82
"дааааааааааааааааааааааааааааааа,",2.82
"обожимый,",2.82
"DDDDDD,",2.82
"лоуренс,",2.82
"вандюшка,",2.82
"маг,",2.82
"хахха,",2.82
"земной,",2.82
"❄️,",2.82
":)',",2.82
"69,",2.82
"уиии,",2.82
"барррррррррррррррриос,",2.82
"киса,",2.82
"поздравляшка,",2.82
"прикалывать,",2.82
":>,",2.82
"волшебник,",2.82
"Atkinson,",2.82
"сашка,",2.82
"😸,",2.82
"автошкола,",2.82
"#Spartak,",2.82
"фотоколла,",2.82
"Vegas,",2.82
"🇺,",2.82
"акустика,",2.82
"girl,",2.82
"далее,",2.82
"симпсон,",2.82
"зоя,",2.82
"HD,",2.82
"приветь,",2.82
"лазарев,",2.82
"Bale,",2.82
"шикарный,",2.8
"ломаться,",2.76
"выздоравливать,",2.75
"прикольный,",2.74
"потрясать,",2.73
"http,",2.73
"красавчик,",2.72
"мимими,",2.71
"ооо,",2.71
"сладкий,",2.71
"изизи,",2.7
"мило,",2.7
"ихиха,",2.7
"love,",2.7
"...),",2.7
"]:,",2.7
"оригинал,",2.7
"киркоров,",2.7
"💃,",2.7
"alburov,",2.7
"pic,",2.7
"кубок,",2.7
"Big,",2.7
"дааааа,",2.7
"спокойный,",2.69
"прекрасный,",2.68
"классный,",2.68
"рождение,",2.67
"заценивать,",2.65
"#spartak,",2.65
"?:),",2.56
"удача,",2.65
"поздравление,",2.62
"тайный,",2.56
"облако,",2.56
"with,",2.56
"совушка,",2.56
"премного,",2.56
"#читать,",2.56
"илюха,",2.56
"🐼,",2.56
"!)))),",2.56
"ужинать,",2.56
"девчата,",2.56
"неожиданный,",2.56
"покормить,",2.56
"хахаа,",2.56
"ааах,",2.56
"#happybirthday,",2.56
"#happy,",2.56
"кстат,",2.56
"василиса,",2.56
"КРЧ,",2.56
"гослинг,",2.56
"необычайно,",2.56
"обожа,",2.56
"фигурка,",2.56
"продюсер,",2.56
"зая,",2.56
"аахах,",2.56
"потрясный,",2.56
"эпик,",2.56
"::::::,",2.56
"волшебный,",2.56
"вечерок,",2.56
"страз,",2.56
"концепт,",2.56
"несомненный,",2.56
"читатетель,",2.56
"🍫,",2.56
"найло,",2.56
"from,",2.56
"feat,",2.56
"otra,",2.56
"⛄,",2.56
"victoria,",2.56
"for,",2.56
"💍,",2.56
"vez,",2.56
"саня,",2.56
"ланч,",2.56
"?)))),",2.56
"миииило,",2.56
"стандартный,",2.56
"concert,",2.56
"поклон,",2.56
"настюша,",2.56
"#AdamLambertOnGleeTonight,",2.56
"!!!)),",2.56
"ул,",2.56
"нуууу,",2.56
"аахха,",2.56
"бегом,",2.56
"кастрюлька,",2.56
"каяться,",2.56
"тихонов,",2.56
"ням,",2.56
"накачивать,",2.56
"#зима,",2.56
"ша,",2.56
"аллегрова,",2.56
"мурлыкать,",2.56
"привееееет,",2.56
"возглавлять,",2.56
"нок,",2.56
"шизофреник,",2.56
"дило,",2.56
"латинский,",2.56
"пробежка,",2.56
"иии,",2.56
"блаженство,",2.56
"наповал,",2.56
"побывать,",2.56
"юхуууу,",2.56
"мчс,",2.56
"#биатлон,",2.56
"ахахаз,",2.56
"сигна,",2.56
"лапочка,",2.56
"исландия,",2.56
"best,",2.56
"хихиха,",2.56
"хехех,",2.56
"beating,",2.56
"ксю,",2.56
"...))),",2.56
"погружаться,",2.56
"погонять,",2.56
"неописуемый,",2.56
"очеень,",2.56
"))))))))))))),",2.56
"давненько,",2.56
"сердечко,",2.56
"!))))),",2.56
"возвращение,",2.56
"gran,",2.56
"колечко,",2.56
"цезарь,",2.56
"Cafe,",2.56
"🌠,",2.56
"устаивать,",2.56
".),",2.56
"изя,",2.56
"кактус,",2.56
"годик,",2.56
"борисовна,",2.56
"отпадный,",2.56
"#Instagram,",2.56
"погоромы,",2.56
"гречка,",2.56
"десерт,",2.56
"расцеловывать,",2.56
"брокколи,",2.56
"=^_^=,",2.56
"news,",2.56
"🎸,",2.56
"успокоица,",2.56
"iphone,",2.56
"миу,",2.56
"кудрявый,",2.56
"анастасия,",2.56
"#анекдот,",2.56
"дина,",2.56
"стопхам,",2.56
"двусмысленный,",2.56
"онье,",2.56
"Can,",2.56
"кинотеатр,",2.56
"#Hearthstoneрулит,",2.56
"милашик,",2.56
"испанец,",2.56
"#biathlon,",2.56
"котеночек,",2.56
"окать,",2.56
"#sport,",2.56
"#ЙесонТайм,",2.56
"попеть,",2.56
"#MentionSomeoneBeautiful,",2.56
"School,",2.56
"хьюстон,",2.56
"единорожка,",2.56
"карамелька,",2.56
"патио,",2.56
"няняня,",2.56
"марковна,",2.56
"шапочка,",2.56
"храпеть,",2.56
"🎈,",2.56
")))))))))))))),",2.56
"ихихиха,",2.56
"Van,",2.56
"прохождение,",2.56
"блистательный,",2.56
"тусилять,",2.56
"умеееер,",2.56
"юлек,",2.56
"озбилиз,",2.56
"вживый,",2.56
"прогулка,",2.56
"хаах,",2.56
"сырник,",2.56
"настоение,",2.56
"Love,",2.56
"женька,",2.56
":'),",2.56
"обажай,",2.56
"IL,",2.56
"In,",2.56
"стройный,",2.56
"líderes,",2.56
"оууу,",2.56
"сахарный,",2.56
"урааааааааааа,",2.56
"зимушка,",2.56
"live,",2.56
"галакси,",2.56
"🎆,",2.56
"хочивать,",2.56
"понравиться,",2.54
"#yaplakal,",2.5
"приятный,",2.49
"замкнутый,",2.48
"::,",2.48
"путешествие,",2.46
"хх,",2.46
"супер,",2.44
"пасиба,",2.41
"стринг,",2.41
"посвящаться,",2.41
"физик,",2.41
"успешный,",2.41
"мммм,",2.41
"рождество,",2.41
"1D,",2.41
"сестренка,",2.41
"монстр,",2.41
"шикарно,",2.41
">:,",2.41
"хДД,",2.41
"классно,",2.37
"t,",2.37
"вкусный,",2.36
"няша,",2.35
"кб,",2.35
"нелегко,",2.35
"наткнуться,",2.35
"восторг,",2.35
"насыщенный,",2.35
"приветик,",2.35
"✨,",2.35
"замечательно,",2.35
"добрый,",2.31
"✌️,",2.31
"подарок,",2.3
"увидеться,",2.3
"забавный,",2.29
"шарфик,",2.24
"сигать,",2.24
"спонтанно,",2.24
"венский,",2.24
"благоразумие,",2.24
"недельный,",2.24
"аахахахах,",2.24
"🎤,",2.24
"макаров,",2.24
"💨,",2.24
"заносить,",2.24
"#КС,",2.24
"групповуха,",2.24
"валуев,",2.24
"деталька,",2.24
"телекинез,",2.24
"#InstaSize,",2.24
"приветос,",2.24
"XDDDDD,",2.24
"алфавит,",2.24
"шик,",2.24
"валентина,",2.24
"настюха,",2.24
"покорять,",2.24
"сражать,",2.24
"профи,",2.24
"эмин,",2.24
"дурнушка,",2.24
"чистота,",2.24
"🐣,",2.24
"прыжок,",2.24
"бальный,",2.24
"паренек,",2.24
"хранитель,",2.24
"ТЕБЯЯЯ,",2.24
"пробник,",2.24
"благоприятный,",2.24
"валерия,",2.24
"томь,",2.24
"🌸,",2.24
"витамин,",2.24
"блюдо,",2.24
"фандом,",2.24
"похолодать,",2.24
"ооох,",2.24
"бесстыжий,",2.24
"опачок,",2.24
"фан,",2.24
"#трусы!,",2.24
"коста-рика,",2.24
"приглянуться,",2.24
"списываться,",2.24
"🚗,",2.24
"Cavalli,",2.24
"крапать,",2.24
"дьявольски,",2.24
"#girl,",2.24
"Пффф,",2.24
"#взаимныйфолловинг,",2.24
"повтор,",2.24
"подгонять,",2.24
"благополучный,",2.24
"чайхон,",2.24
"катить,",2.24
"аппетитный,",2.24
"совершенство,",2.24
"ахерить,",2.24
"шон,",2.24
"Art,",2.24
"гы,",2.24
"гу,",2.24
"Forever,",2.24
"петровка,",2.24
"#счастье,",2.24
"VEVO,",2.24
"пласибо,",2.24
"впечатляющий,",2.24
"достучаться,",2.24
"стойка,",2.24
"аутотренинг,",2.24
"миило,",2.24
"🏀,",2.24
"кафешок,",2.24
"мультиварка,",2.24
"♥♥♥♥,",2.24
"улучшаться,",2.24
"натурал,",2.24
"дюймовый,",2.24
"увлажнитель,",2.24
"зак,",2.24
"оооооо,",2.24
"бат,",2.24
"варварский,",2.24
"🍴,",2.24
"даааааааааа,",2.24
":-*,",2.24
"^_________^,",2.24
"выглядывать,",2.24
"хворать,",2.24
"инвайт,",2.24
"познание,",2.24
"нормас,",2.24
"#шурш,",2.24
"чизкейк,",2.24
"ееее,",2.24
"дефиле,",2.24
":-):-),",2.24
"Dota,",2.24
"#цветы,",2.24
"танюша,",2.24
"божечка,",2.24
"ахахахаа,",2.24
"современность,",2.24
"голодовка,",2.24
"ахриненный,",2.24
"East,",2.24
"йо,",2.24
"♥♥♥=,",2.24
"новоселье,",2.24
"водичка,",2.24
"кошак,",2.24
"Maserati,",2.24
"sweet,",2.24
"))))))))))),",2.24
"кунг,",2.24
"кл,",2.24
"ку,",2.24
"милашность,",2.24
"ахахаххахахах,",2.24
")))))))))))))))))),",2.24
"^*,",2.24
"насмешить,",2.24
"LC9,",2.24
"..)),",2.24
"хахахахахах,",2.24
"розетка,",2.24
"переобувать,",2.24
"квантовый,",2.24
"пкио,",2.24
"потроллить,",2.24
"благодарствовать,",2.24
"образец,",2.24
"отпраздновать,",2.24
"комнатный,",2.24
"ахаа,",2.24
"#myday,",2.24
"мчать,",2.24
"SVO,",2.24
"Harry,",2.24
"рст,",2.24
"харошать,",2.24
"ккк,",2.24
"аххахах,",2.24
"закупиться,",2.24
"лесной,",2.24
"позитивчик,",2.24
"Club,",2.24
"лоток,",2.24
"выхино,",2.24
"аххахаах,",2.24
"12.11,",2.24
"красиваая,",2.24
"комплектация,",2.24
"EXO,",2.24
"сашуля,",2.24
"фаворит,",2.24
"крутяк,",2.24
"салатик,",2.24
"защитник,",2.24
"ПНД,",2.24
"сингапур,",2.24
"богатырь,",2.24
"facts,",2.24
"восхитительно,",2.24
"мэн,",2.24
"детски,",2.24
"Make,",2.24
"ореховый,",2.24
"During,",2.24
"удивленный,",2.24
"🎧,",2.24
"оперативность,",2.24
"азахах,",2.24
"двадцатилетие,",2.24
"чешский,",2.24
"ржак,",2.24
"настораживаться,",2.24
"хихикать,",2.24
"стишок,",2.24
"Hotel,",2.24
"дочурка,",2.24
"джэк,",2.24
"#swag,",2.24
"тунец,",2.24
"полоска,",2.24
"крещение,",2.24
"..),",2.24
"доч,",2.24
"уоу,",2.24
"троллейбус,",2.24
"уайт,",2.24
".)),",2.24
"Presents,",2.24
"секси,",2.24
"поэтический,",2.24
"уникальный,",2.24
"офигительный,",2.24
"#МГЕР!,",2.24
"полюбой,",2.24
"перегонка,",2.24
"DJ,",2.24
"вещать,",2.24
"мораторий,",2.24
"❤️❤️❤️❤️❤️,",2.24
"Square,",2.24
"⚪,",2.24
"дуэт,",2.24
"#…,",2.24
":::::,",2.24
"припадок,",2.24
"фотик,",2.24
"рассудительность,",2.24
"шустрый,",2.24
"#ностальгия,",2.24
"🎇,",2.24
"ахахаххах,",2.24
"норрис,",2.24
"спасибок,",2.24
"наряжаться,",2.24
"!!),",2.24
"затискать,",2.24
"ощупь,",2.24
"жираф,",2.24
"братец,",2.24
"гранд,",2.24
"милашный,",2.24
"исполнительница,",2.24
"Red,",2.24
"умилять,",2.24
"хеллоуин,",2.24
"отпад,",2.24
"#прикол,",2.24
"боз,",2.24
"воркута,",2.24
"барриос,",2.24
"кросс,",2.24
"поздра,",2.24
"on,",2.24
"муахах,",2.24
"приглядываться,",2.24
"🎬,",2.24
"противоположный,",2.24
"лааал,",2.24
"#birthdayvegas,",2.24
"спатенька,",2.24
"#Hakkaday,",2.24
"️Сериал,",2.24
"орешек,",2.24
"потрошитель,",2.24
"деточка,",2.24
"посад,",2.24
"🐟,",2.24
"''=♥♥♥,",2.24
"#Признайсятвиттерскомувлюбви,",2.24
"падик,",2.24
"оптика,",2.24
"рокси,",2.24
"чур,",2.24
"славный,",2.24
"#ТвиттерскийБезКоторогоЯНеСмогу,",2.24
"нисколько,",2.24
"юр,",2.24
"оооо,",2.24
"спасибооооо,",2.24
"пляс,",2.24
"супир,",2.24
"благословенный,",2.24
"детишки,",2.24
"погоня,",2.24
"мечтатель,",2.24
"👄,",2.24
"Michael,",2.24
"сэкси,",2.24
"M,",2.24
"именинница,",2.24
"фанф,",2.24
"директриса,",2.24
"поперек,",2.24
"втихорь,",2.24
"семеро,",2.24
"преодолевать,",2.24
"чехол,",2.24
"гражданство,",2.24
"=)))))),",2.24
"посвящение,",2.24
"фелтон,",2.24
"атланта,",2.24
"брутальный,",2.24
"отчаливать,",2.24
"пррям,",2.24
"post,",2.24
"))*,",2.24
"#РД,",2.24
"взбадриваться,",2.24
"ребеночек,",2.24
"слушание,",2.24
"мороженный,",2.24
"леопардовый,",2.24
"яичница,",2.24
"вкуснотища,",2.24
"интерн,",2.24
";_;,",2.24
"попка,",2.24
"старина,",2.24
"стейк,",2.24
"локо,",2.24
"димочка,",2.24
"светлана,",2.24
"ихихихий,",2.24
"Music,",2.24
"бэйби,",2.24
"отмучиваться,",2.24
"стриптиз,",2.24
"#instagram,",2.24
"облегченно,",2.24
"обыденный,",2.24
"касаемо,",2.24
"качественно,",2.24
"богомол,",2.24
"цветочный,",2.24
"🍼,",2.24
"первак,",2.24
"World,",2.24
"найлуши,",2.24
"little,",2.24
"🐻,",2.24
"наконецто,",2.24
"юхууу,",2.24
"возрадоваться,",2.24
"😅,",2.24
"спасибаа,",2.24
"~*,",2.24
"альфред,",2.24
"подумывать,",2.24
"36,",2.24
"волнительный,",2.24
"славик,",2.24
"баттл,",2.24
"поучаствовать,",2.24
"антонио,",2.24
"York,",2.24
"3х,",2.24
"охуенить,",2.24
"аах,",2.24
"харизма,",2.24
"монашек,",2.24
"xDDDD,",2.24
"кокос,",2.24
"слушатель,",2.24
"украшать,",2.24
"бокс,",2.24
"ючон,",2.24
"кайен,",2.24
"ехуу,",2.24
"флот,",2.24
"кончерто,",2.24
"64,",2.24
"#красота,",2.24
"умора,",2.24
"ямайка,",2.24
"пава,",2.24
"дрессировать,",2.24
"распаковывать,",2.24
"мимимимими,",2.24
"78,",2.24
"загорать,",2.24
"гра,",2.24
"ракурс,",2.24
"днюшка,",2.24
"райан,",2.24
"киноконцертный,",2.24
"значительно,",2.24
"академический,",2.24
"кулачок,",2.24
"ложечка,",2.24
"крууут,",2.24
"татуха,",2.24
"#мимими,",2.24
"🍣,",2.24
":],",2.24
"кох,",2.24
"обаяшка,",2.24
"азазазза,",2.24
"ХДДДД,",2.24
"краткость,",2.24
"ууууутро,",2.24
"мембр,",2.24
"плаз,",2.24
"маргарита,",2.24
"семейство,",2.24
"сербия,",2.24
"излучать,",2.24
"руди,",2.24
"!!!))),",2.24
"заботливо,",2.24
"бальзак,",2.24
"кольцевой,",2.24
"STAR,",2.24
"#сообщают,",2.24
"загородный,",2.24
"обнимашка,",2.24
"инвестиция,",2.24
"🌞,",2.24
"совмещать,",2.24
"найл,",2.24
"игнашевич,",2.24
"ахааахаа,",2.24
"ЗЗ,",2.24
"матрешка,",2.24
"жасмин,",2.24
"задумка,",2.24
"позитивно,",2.24
"💌,",2.24
"апхах,",2.24
"преподносить,",2.24
")))) ,",2.24
"разливать,",2.24
"#деньги,",2.24
":-)))))),",2.24
"колбаска,",2.24
"душка,",2.24
"🍚,",2.24
"адовый,",2.24
"#instagood,",2.24
"ждемс,",2.24
"антоша,",2.24
"беглый,",2.24
"фоловить,",2.24
"решающий,",2.24
"няшно,",2.24
"стая,",2.24
"21.00,",2.24
"ооооооо,",2.24
"виии,",2.24
"орел,",2.24
"#look,",2.24
"ЛЮ,",2.24
"превосходный,",2.24
"миленько,",2.24
"сфотографировать,",2.24
"Ееее,",2.24
"спааасибо,",2.24
"павлик,",2.24
"урчать,",2.24
"мюзикл,",2.24
"январский,",2.24
"мотор,",2.24
"El,",2.24
"изизиз,",2.24
"граммофон,",2.24
"необычный,",2.24
"обезьянка,",2.24
"ангел,",2.24
"паааааааааааааааава,",2.24
"ааайя,",2.24
"лыбиться,",2.24
"de,",2.24
"кроха,",2.24
"укутываться,",2.24
"bear,",2.24
"чунмен,",2.24
"#boy,",2.24
"injured,",2.24
"Airport,",2.24
"фассбендер,",2.24
"ретро,",2.24
"вареничная,",2.24
"лавочка,",2.24
"сырок,",2.24
"кержакова,",2.24
"прибалтика,",2.24
"ураааааа,",2.24
"воодушевлять,",2.24
"олимп,",2.24
"plz,",2.24
"🐾,",2.24
"изделие,",2.24
"Хх,",2.24
"вакса,",2.24
"охеренный,",2.24
"Ррр,",2.24
"квикстеп,",2.24
"самбурский,",2.24
"II,",2.24
"#ужин,",2.24
"лубянка,",2.24
"загород,",2.24
"рань,",2.24
"🍁,",2.24
"счастливчик,",2.24
"👅,",2.24
"снейп,",2.24
"танцевальный,",2.24
"1861,",2.24
"ТЯ,",2.24
"католик,",2.24
"поцеловаться,",2.24
"Siri,",2.24
"юха,",2.24
"зарядник,",2.24
"сытный,",2.24
"нарыть,",2.24
"читатель,",2.21
"🙏,",2.2
"пицца,",2.18
"милый,",2.18
"3,",2.16
"of,",2.16
"позитив,",2.16
"лайк,",2.16
"новогодний,",2.15
"ахуенный,",2.15
"😄,",2.15
"статистика,",2.14
"фай,",2.14
"высота,",2.14
"ХДД,",2.14
"потрясающе,",2.14
"зайка,",2.14
"😌,",2.13
"даааа,",2.13
"котэ,",2.11
"малыш,",2.11
"чертовски,",2.11
"хд,",2.11
"босс,",2.11
"рецепт,",2.11
"няшка,",2.11
"w,",2.1
"A,",2.08
"others,",2.08
"энергия,",2.07
"ловить,",2.06
"акцент,",2.04
"Me,",2.04
"Live,",2.04
"❤️❤️,",2.04
"NY,",2.04
"грин,",2.04
"вооот,",2.04
"стартовать,",2.04
"ладошка,",2.04
"еееее,",2.04
"ураа,",2.04
"ургант,",2.04
"необычно,",2.04
"49,",2.04
"лягушка,",2.04
"ништяк,",2.04
"слетаться,",2.04
"санитар,",2.04
"редкость,",2.04
"телега,",2.04
"финальный,",2.04
"забросить,",2.04
"🌈,",2.04
"^_~,",1.24
"декабрь,",2.04
"городок,",2.04
"заметать,",2.04
"папочка,",2.04
"носочек,",2.04
"хиха,",2.04
"🐱,",2.04
"пааааааааааааааааааааааааарш,",2.04
"зейн,",2.04
"вай,",2.04
"подгон,",2.04
"#DerbyDay,",2.04
"субботний,",2.04
"топливо,",2.04
"барин,",2.04
"барс,",2.04
"замечательный,",2.04
"формула,",2.04
"видео,",2.04
"сланцевый,",2.04
"панда,",2.04
"кристина,",2.04
")”,",2.04
"музтв,",2.04
"my,",2.04
"Terminal,",2.04
"уютно,",2.04
"трк,",2.04
"Хд,",2.04
"олег,",2.04
"кол,",2.04
"ОО,",2.04
"подстригаться,",2.04
"спааать,",2.04
"шайба,",2.04
"копия,",2.04
"пауза,",2.04
"L,",2.04
"ЗБС,",2.04
"обалденный,",2.04
"жарот,",2.04
"дааа,",2.03
"круто,",2.02
"взаимно,",2.02
"съемка,",2.02
"любимый,",2.02
"космос,",2.01
"котик,",2.01
