term,tone
#ТеплыйСтан,7.29
#ТеплыйКонь,7.29
#Коньково,7.29
:):)):)),7.26
нимаг,7.26
))))))))))))))))))))))))))))))),7.24
иннусик,7.24
?)))),7.23
:-):-):-),7.19
))))))))))))))))))))))))))))),7.15
. ))))),7.12
vidserg,7.11
)))))) (,7.11
добраутра,7.11
. )))))),7.09
йододефицитный,7.09
5l7kuigZyc,7.08
. )))),7.05
бастард,7.05
;)))),7.02
наркокартель,6.96
?)),6.93
голодовка,6.89
чубатый,6.88
колумбийский,6.88
)))))))))))))))))))))))))))))))))))),6.87
веллингтон,6.85
кома,6.85
:)))))))))))))),6.83
:-) ))))),6.82
изукраинский,6.8
потроли,6.8
лиичка,6.8
часо,6.78
залупостановский,6.76
:)))))))))))),6.76
?)))))),6.73
:)))))))))))))))))),6.71
)))))))))))))))))))))))))))))),6.69
...))),6.67
аааааааааааааааааааааааааааааааааааааааааааа,6.67
меркьюри,6.67
#ДнюхаСлема,6.65
пацталый,6.65
=))))),6.64
:))))))))))))))),6.64
дружочек,6.62
) *,1.99
любезный,6.62
ботать,6.62
троляк,6.62
иннуся,6.6
:))))))))))))))))))),6.6
твитня,6.58
!!!=)),6.58
:)):))))))))))),6.56
тепленький,6.54
корра,6.52
:-))))))))),6.52
"""""))))))",6.52
OMFG,6.52
дружеский,6.52
?))),6.52
) )))),6.52
! )),6.49
маришик,6.49
))))))))))))))))))))))))))))))))),6.47
:)))))))))))))))))))))))))))),6.47
корежить,6.47
0000,6.46
#LIKE,6.45
#Ретвит,6.45
:):))):))),6.45
))))))))))))))))))))))))))))))))))))),6.45
! ))),6.43
свидома,6.43
фашня,6.43
""""")))))",6.43
:-) )))),6.43
защ,6.41
""""")))))))",6.41
укропитек,6.41
нарышкин,6.41
ахметовский,6.4
поклонской,6.4
..!!,6.38
:)))))))))))))))))))))))))))))))),6.38
натовский,6.38
сержик,6.38
ретвитня,6.38
))))))))*,6.36
пошуливать,6.36
сказ,6.35
#eurovision,6.34
!)))))),6.34
иннусек,6.34
нуну,6.34
суецыднек,6.34
очко,6.33
бабич,6.33
страна404,6.31
OpMay9,6.31
:-) )))))),6.31
:):):):)))),6.29
:))))))))))))))))))))))))))))))))))),6.29
лопать,6.28
анатольевич,6.28
PeekaperKilla,6.26
!!!)))),6.26
:-))) :-))),6.26
))))))))))))))))))))))))))))))))))))))))))))),6.26
:):)):))):))))))),6.26
""""")))",6.26
рупор,6.26
пяяятнииицааа,6.26
юнус,6.25
ржунимаг,6.24
малекфолловитпоцелуй,6.24
ахахахахаххахах,6.24
))))))))))))))))))))))))))))))))))),6.24
))),6.24
xD,6.24
пушилин,6.24
закипать,6.24
#passengershaming#полет#fly,6.21
самолет#,6.21
декоммунизировать,6.21
#SoFantastic,6.21
дерибасовский,6.21
бейби,6.21
dnr,6.19
"""""))))",6.19
pravda,6.19
:)))))))))))))))))))))))))),6.19
цитировать,6.16
хахахахахах,6.16
:)):))):)))))):))))))))),6.16
))))))))))))))))))))))))))))))))))))))),6.16
ахеджаков,6.16
многоходовочка,6.15
:-),6.13
#goodmorning,6.13
сигал,6.13
рурк,6.13
выплывать,6.13
:**,6.13
ассад,6.13
подвозить,6.12
допрос,6.11
найлфолловиттуалет,6.09
=))),6.08
ахзпх,6.08
: )))))))),6.08
!:))),6.05
"!))) """,6.05
васильев,6.05
)))))))))))))))))))))))))))))))))))))),6.02
компьтер,6.02
""""" :-))",6.02
хД,6.02
"#ТвиттерФолловитЖизу
ска",6.02
 )))))))))))))))))))),6.02
#стс,6.02
реверсировать,6.02
ситуэйшен,6.02
"#сериал
Ура",6.02
тбилиси,5.99
)))))))))))))))))))))))))))))))),5.99
!!!)))))),5.99
💝,5.97
буян,5.96
определение,5.96
буцаад,5.96
вэн,5.96
дагалцдаг,5.96
тооцогдоно,5.96
;)))))),5.96
""""" :))))",5.96
мээнд,5.96
астанавливать,5.96
)))))))))))))))))))))))))))))))))),5.96
спакуха,5.96
даган,5.96
:)))))):)))),5.96
пляяяяяяяяяяять,5.96
үйлсэд,5.96
постановка,5.96
ахахахахах,5.95
...)),5.93
PurposeTourInRussia,5.93
растериваться,5.92
позитивчик,5.91
аполлон,5.9
сделаный,5.9
ильич,5.9
:):):):)):)),5.9
:)):)),5.9
=))))))),5.9
^_^,5.87
⚫,5.87
")""""))))",5.87
"""""☝️",5.87
:-) ))))))),5.87
УтрЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯ,5.87
:)))))) (,5.87
дрю,5.87
"""""))",5.83
коментарий,5.83
#ГорячаяВодаФолловитОбщагу,5.83
Бггг,5.83
""""" ))))",5.8
отшибать,5.8
ххудожество,5.8
...)))),5.8
:):)):):)):)):))),5.8
ГЫЫЫЫ,5.76
!!!!)))),5.76
РГД,5.76
фейсбук,5.76
маринчик,5.76
:)))):))):)))),5.76
рэжим,5.76
". ))) """,5.76
джаггер,5.76
!!)),5.76
кастро,5.76
куринный,5.76
Гы,5.76
!!!))),5.76
""""")))))))))))))))))))))",5.76
Tomlinson,5.76
цензор,5.76
зачухать,5.73
ахахахахахахха,5.73
монокристалл,5.73
пися,5.73
мариночка,5.73
лентууууш,5.73
плейбой,5.73
пропаливаться,5.73
исполнительница,5.73
)))))))))))))))))))))))))))))))))))))))),5.73
!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5.73
:-) )))))))),5.73
запылесосить,5.73
???:))),5.73
)))) (,5.73
#сарказм,5.73
:))))))))))))))))))))))))))),5.73
привеееет,5.73
восьмимартовский,5.73
))))))))))))))))))))))))))))))))))))))))))),5.73
бек,5.7
памперс,5.69
#Лазаревлучший,5.69
донбасский,5.69
1985,5.69
бггг,5.69
ячитаюкаждый,5.69
дебальцево,5.69
кайотфолловитбанша,5.69
онливаныпротивофк,5.69
яфсиооооооооооооооооооооооо,5.69
#Eurovision2017,5.69
..))))),5.69
ахаххххххххххххххххххххххххххххххххх,5.69
#евровидение2017,5.69
валера,5.68
..)),5.65
)))))))))))))))))))))))))))))))))))))))))),5.65
IStillBelieveInZiam,5.65
""""" ))))))))",5.65
гарольд,5.65
:)):))))):))))),5.65
;))))))))),5.65
досвидос,5.64
ааааааааааааааааааааааааааааааааааа,5.64
!:)))),5.62
.... ))),5.62
разведчик,5.62
#роликинашконек,5.62
Бгггг,5.62
энгельс,5.62
твиттерянин,5.6
приветос,5.58
:)) :)) :)),5.58
досчитывать,5.58
""""" ))))))",5.58
)),5.58
#BAPinRussia,5.58
:-) :-) :-) :-),5.58
аааааааааааааааааааааааааааааа,5.58
!))))),5.58
ивропа,5.58
УХХХ,5.56
хаззафолловитэнди,5.56
!!! :,5.56
! :,5.55
"#ЕхайНаХуй
оно",5.54
:):)):))))))),5.54
гринь,5.54
хиханьки,5.54
""""":))",5.54
000000,5.54
Фр,5.54
сыбаться,5.54
:):))):))))))),5.54
визначиться,5.54
суздаль,5.54
мамадарагай,5.54
хаханьки,5.54
сап,5.54
#Azerbaijan,5.54
каклов,5.54
ха,5.5
прииивееет,5.49
)]))),5.49
BAPinMoscow,5.49
СТОпиZдесят,5.49
покус,5.49
:*:*:*,5.49
протолкаться,5.49
.....!!!!!,5.49
☀,5.49
🙋,5.48
адмирал,5.45
рудыкать,5.45
:)) :)) :)) :)),5.45
Ыыыыыыыы,5.45
ржак,5.45
:):):)):)):)):),5.45
)))))))))))))))))))))))))))))))))))))))))))),5.45
охотничий,5.45
:):))):)))))):))))))),5.45
гродно,5.41
))))))))))))(),5.41
краля,5.41
диссонанс,5.41
здаваться,5.41
конвульсионный,5.41
:)):)):))))),5.41
)))),5.41
когнитивный,5.41
стоптаться,5.41
поноооооой,5.41
привееет,5.39
раса,5.38
саратовский,5.37
:))):))),5.36
кончобар,5.36
бобков,5.36
скринуть,5.36
:):)):)))))),5.36
груз,5.36
джиин,5.36
:-))))))))))),5.36
ржач,5.36
eye,1.41
кричиторетвизжать,5.36
керри,5.36
суверенный,5.36
заграница,5.36
саркисян,5.36
#ОтМужчинРоссии,5.36
простооо,5.36
евровидиние,5.36
капризничать,5.36
))))))))))))))))))))))))))))))))))))))))),5.36
интересоваться,5.35
косметичка,5.33
рикардо,5.31
""""")))))))))",5.31
#импровизация,5.31
оглашать,5.31
22+,5.31
Sherlock,5.31
TMZ,5.31
:))):,5.31
:))):))))):)))))):))))):):)):)):):):)):)))))))),5.31
кастрюлеголовый,5.31
:):)):))):)))):))),5.31
#лунтик,5.31
йес,5.31
малек,5.3
отрывок,5.3
пестень,5.26
богато,5.26
off,5.26
урааааа,5.26
равенство,5.26
 '',5.26
поперхнуться,5.26
:):)):)):));))))))))),5.26
🔵,5.26
посошок,5.26
распирать,5.26
приторный,5.26
мая,5.26
фангерлить,5.26
"""""))))))))",5.26
)) )) )) )),5.26
твердый,5.25
вица,5.25
министерство,5.24
объявление,5.24
ржа,5.22
юнкер,5.21
rOb7ZQK3yN,5.21
сявченко,5.21
вкуснотеево,5.21
карнавальный,5.21
вапрос,5.21
:-):-),5.21
говна,5.21
::)):)):)::)):)))),5.21
каравай,5.21
YSL,5.21
вольфыч,5.21
прокурорать,5.21
куль,5.21
:):))):)):)))):))))))))),5.21
louis,5.21
=)))))),5.21
!)))))))))),5.21
днюхоооооой,5.21
жан-клод,5.21
воистинн,5.21
sky,5.21
сговариваться,5.21
yours,5.21
sincerely,5.21
;))))))),5.21
lis,5.21
манипчик,5.21
кашне,5.21
адын,5.21
аншлаг,5.2
совенок,5.19
ахахахахахах,5.19
красава,5.16
салливан,5.16
!:))))),5.16
…))))),5.16
:):))),5.16
расследователь,5.16
борзеть,5.16
?????!!!!!,5.16
немцова,5.16
простоорууууууууууу,5.16
зурагтай,5.16
""""" )))))))))",5.16
:))):)),5.16
ряса,5.16
"))) """"",5.16
любопытно,5.16
лоза,5.14
куб,5.13
DirectionersDay,5.13
Sky,5.13
отзывчивый,5.11
наррифолловятбритс,5.11
:):)::)):))))),5.11
home,5.11
растиражировать,5.11
:):))):)))))))),5.11
плясать,5.11
живец,5.11
:)):))),5.11
конкурсик,5.11
толчок,5.11
? :)),5.11
пленение,5.11
торжествовать,5.11
:):)):),5.11
явлинский,5.11
;))))))))))))),5.11
длительный,5.11
Lenyavochka,5.11
бгггггг,5.11
ебенить,5.11
30.08,5.11
:)))))))))))))))))))))),5.11
паника,5.1
присмотр,5.08
маришка,5.08
крестник,5.08
пид,5.07
прочь,5.07
! :)),5.05
пригорать,5.05
:):)):):))))),5.05
пердак,5.05
хааа,5.05
гозман,5.05
натали,5.05
памьятник,5.05
:-):-):-):-),5.05
:):)::)))),5.05
путина,5.05
сотник,5.05
жирик,5.05
зотнять,5.05
нэбэзной,5.05
переубеждать,5.05
:)))))))))))))))),5.05
""""" :)))))",5.05
освобождаться,5.05
следовательно,5.05
:):):)):))),5.05
заюзаный,5.05
:):):))))))),5.05
!=)),5.05
размен,5.05
! :))))))))))))))),5.05
:))):)))))),5.05
#россияСтранаFake,5.05
pianistkawlw,5.05
сосчитываться,5.05
#Артон,5.05
растапливать,5.05
спелл,5.05
оргтехника,5.05
опа,5.03
остригать,5.02
благотворительный,5.02
)☺,5.02
stupid,4.99
!!!-:)),4.99
!:)),4.99
))))))))))))))))))))))))))))))))))))))))))))))),4.99
BuyHomeOniTunes,4.99
разбег,4.99
озираться,4.99
пфффффааааааааааааахахахахахаааа,4.99
:):)):)))),4.99
еленка,4.99
:-))),4.99
вдребезги,4.99
:::)))),4.99
#БитчезСила,4.99
тана,4.99
..!!!!!,4.99
☀️))),4.99
охаметь,4.99
.!!!,4.99
ларривыдумкашкольница,4.99
GornikFanny777,4.99
жидье,4.99
:):))):))))))))):):))),4.99
противоугонка,4.99
прикупать,4.99
гыгыгыгы,4.99
царевич,4.99
загадочный,4.99
девчата,4.96
смывать,4.96
())))))),4.93
украиночка,4.93
здрасте,4.93
лисовский,4.93
наголосовать,4.93
#путинхуйло,4.93
оаоаоаоаоаоа,4.93
фантазер,4.93
пиндоса,4.93
:***,4.93
::::)))),4.93
:-)))))))))),4.93
#heda,4.93
эмоционально,4.93
:):):):):))))),4.93
:)))):))))),4.93
здрач,4.93
смело,4.91
кацап,4.9
маркс,4.9
укроп,4.89
кремлядь,4.88
...!!!,4.87
)) )) )) )) )) )),4.87
 ))),4.87
world,4.87
BTOB,4.87
подсознание,4.87
долбохлоп,4.87
clexa,4.87
возмешь,4.87
смехо,4.87
насиров,4.87
рассея,4.87
хохлик,4.87
сдохнуться,4.87
#днищеПропито,4.87
докучаевский,4.87
церковный,4.87
моська,4.87
..))),4.87
проплачивать,4.87
покровительница,4.87
юмористический,4.87
ватка,4.87
достоверный,4.87
#НД,4.87
доломитовый,4.87
опустеть,4.87
вербный,4.87
контрпродуктивность,4.87
;*,4.87
прага,4.85
ссылочка,4.83
федерация,4.81
захватывать,4.81
пля,4.81
Бравіссссімо,4.8
#роллерпенза,4.8
севастопольский,4.8
пацтал,4.8
кици,4.8
галчонок,4.8
магадан,4.8
натерпеться,4.8
невменяемость,4.8
лексика,4.8
божечкиии,4.8
выеживаться,4.8
дорчитатель,4.8
ждуждужда,4.8
:):)):)))))))),4.8
!!!!!!!!!!!!!!!,4.8
донбассовский,4.8
джо,4.79
кастрюля,4.78
подгорать,4.76
Harry,4.76
янукович,4.75
choice,4.73
!!))),4.73
эрни,4.73
иржи,4.73
)) “,4.73
ааааааааааааааааааааааааааааааааа,4.73
советик,4.73
бендеровец,4.73
назаров,4.73
чехольчик,4.73
гейропейс,4.73
малороссия,4.73
сшаса,4.73
вооооот,4.73
кофема,4.73
могиканин,4.73
кулич,4.73
класснааааая,4.73
#ДеньЯояОтАртёма,4.73
:-))) :-))) :-))),4.73
:-) )))))))))),4.73
капочка,4.73
European,4.73
застрельщик,4.73
ненормативный,4.73
wonderful,4.73
!!!!;)))),4.73
подготовочка,4.73
бабаян,4.73
воть,4.73
юст,4.73
шура,4.73
настучать,4.73
ураааааа,4.73
благодарить,4.7
явка,4.7
аватара,4.69
аааааааааааааааааааааааааааа,4.69
.!!,4.69
подпускать,4.68
хортица,4.68
00000,4.67
транс,4.66
???))),4.65
хфххахахгрщщщгга,4.65
))(,4.65
.....?,4.65
пропагадонов,4.65
юличка,4.65
знаааал,4.65
газрын,4.65
надеждин,4.65
орууууу,4.65
:)):))))),4.65
female,4.65
ишь,4.65
кромсать,4.65
гарчээ,4.65
:)):))))))),4.65
өөрөөр,4.65
заедать,4.65
гэхээс,4.65
1971,4.65
пушко,4.65
#РеферендумНидерланды,4.65
елизавета,4.65
::::::)))))))),4.65
ордило,4.65
духан,4.65
GQ,4.65
:):))):))):::))))),4.65
масяня,4.65
поединок,4.65
#2конкурс,4.65
свиснуть,4.65
погранец,4.65
:)):)):)))))))))):))):),4.65
given,4.65
сапатка,4.65
chance,4.65
.)),4.65
нэрлэхо,4.65
тугало,4.65
цыбуляк,4.65
михайлововна,4.65
обождать,4.65
))))))))))))))))))))))))))))))))))))))))))))))))),4.65
вааам,4.65
! )))),4.65
путлер,4.63
ДБ,4.62
побояться,4.62
кемерово,4.61
ну-ну,4.61
клубника,4.59
ветлицкая,4.58
переулок,4.58
сноффф,4.58
билецкий,4.58
емелюшка,4.58
апгрейдик,4.58
::)))),4.58
екарный,4.58
налеплять,4.58
:):)))),4.58
икать,4.58
стивен,4.58
эмбенд,4.58
....!!!!!!!!!!!,4.58
ахапхах,4.58
серень,4.58
элечка,4.58
фраймза,4.58
панамский,4.58
ойнимагуууу,4.58
товмайор,4.58
новороссийский,4.58
горошина,4.58
:))))))))))))))))))))))),4.58
хейлфолловитвсех,4.58
... )))),4.58
зашевелиться,4.58
ретвитит,4.58
сергуня,4.58
"))""""",4.58
перзидент,4.58
кiнь,4.58
чао,4.58
:):))):))))))))),4.58
стооолькооо,4.58
вошь,4.58
ядрена,4.58
цыганский,4.58
мбендер,4.58
венгерский,4.58
спсба,4.58
леблядь,4.58
кратко,4.56
мона,4.55
папс,4.55
беречься,4.55
хохляцкий,4.54
radiodisney,4.54
: :,4.49
.... ))))),4.49
мальцев,4.49
хийсэн,4.49
_))),4.49
:)):))):)))),4.49
#Odessa,4.49
)))))),4.49
насмешить,4.49
фигель,4.49
пиндосовский,4.49
пиндоский,4.49
.:)),4.49
роллерпенза,4.49
:-) :-),4.49
дык,4.49
квят,4.49
:))::)),4.49
сиротка,4.49
Steal,4.49
речевка,4.49
зверинец,4.49
Perfect,4.49
конструктор,4.49
вже,4.49
17+,4.49
внаукраинец,4.49
путюшонок,4.49
)))))))))))))))))))))))))))))))))))))))))))))),4.49
доброутро,4.49
маразматик,4.49
:):))))),4.49
крысчанин,4.49
:-----------------------))))))))))))),4.49
хорватия,4.49
=)))))))),4.49
нянчить,4.49
ольгино,4.49
христос,4.49
диагноз,4.46
гамбургер,4.45
приезд,4.44
М25,4.41
предобрый,4.41
ржююююю,4.41
вышвыривать,4.41
!!!!....,4.41
плякать,4.41
хахахахахахахахахахахахахах,4.41
скафандр,4.41
шийтгэдэггүй,4.41
неоперабельный,4.41
кивалов,4.41
#NKpeace,4.41
эмчээр,4.41
поговорка,4.41
ветлицкю,4.41
ирина,4.41
:))):):):))))):::))):):):)))),4.41
чесать,4.41
поворчать,4.41
чаленко,4.41
аксенов,4.41
Memories,4.41
Midnight,4.41
аава,4.41
уй,4.41
какать,4.41
:)):))::)):)):):):):):):):))))),4.41
андерграунд,4.41
хДД,4.41
бульба,4.41
ладан,4.41
1АпреляФолловитТупыеШуточки,4.41
яахын,4.41
покопать,4.41
тэднийг,4.41
невежество,4.41
лайкозависимость,4.41
веревочка,4.41
гру,4.41
000000000,4.41
традиционно,4.41
марвелфолловитдиси,4.41
живучий,4.41
дуркаин,4.41
повоевать,4.41
control,4.41
:):)):):))),4.41
забегать,4.41
By,4.41
иисус,4.41
навоевать,4.41
положенец,4.41
бөө,4.41
ворчание,4.41
явкий,4.41
дурь,4.39
ааааааааааааааааааааааааааааааа,4.39
сходство,4.38
красноармейск,4.36
ласковый,4.36
паскудный,4.36
ипать,4.35
снос,4.35
#конкурс2,4.35
запаливать,4.33
4.0,4.31
умора,4.31
блоколчвоо,4.31
0000000000000,4.31
ыгыгыгыгыгыгыгыгыг,4.31
Julius,4.31
психолог,4.31
сновва,4.31
галинчик,4.31
заверещать,4.31
;)))))))),4.31
наброситься,4.31
прынц,4.31
барабаненко,4.31
прогревать,4.31
#Шерлок,4.31
! :))),4.31
замаскироваться,4.31
Зы,4.31
:)))))))))))))))))))),4.31
? ))),4.31
посадилипусекпосадиминадя,4.31
подполковник,4.31
фффсе,4.31
хэзээдээ,4.31
Бггггг,4.31
дирэкшен,4.31
тововой,4.31
постучать,4.31
Ахахахаххххххххххххх,4.31
:):)):))))):)))):)))))):))))))),4.31
!!!)),4.31
ярилцаж,4.31
снилс,4.31
аххпхах,4.31
!!)))),4.31
по-английски,4.31
хэт,4.31
ашопаделать,4.31
))) (,4.31
зүрхээ,4.31
хронологический,4.31
ооооокий,4.31
укропейчкие,4.31
джустяфолловитвсех,4.31
укропье,4.31
3yfo9v2Idr,4.31
Блоклоогүй,4.31
705,4.31
какл,4.31
хахахахахахахах,4.31
хичээдэг#,4.31
понедельничек,4.31
захеров,4.31
пукнуть,4.31
медиа,4.31
процетируйье,4.31
тэврэхийг,4.31
шиам,4.31
ALF,4.31
"#ДБТЬ
https://t.co/75tk2BPl4R
#страна404",4.31
✨✨✨,4.31
погранц,4.31
жуляны,4.31
ПЗРК,4.31
рубануть,4.31
ягусь,4.31
smakojane,4.31
изолента,4.31
fishka134,4.31
сифилис,4.31
:):))))))),4.31
всемма,4.31
шуточный,4.31
дуис,4.31
марииишка,4.31
околоземный,4.31
спасибооо,4.31
:))):))))):),4.31
байден,4.31
солнцево,4.31
пресладкий,4.31
ботанический,4.31
☀️,4.3
юморист,4.28
#HomeDay,4.27
навещать,4.26
долгов,4.26
по-детски,4.26
орбита,4.26
португалия,4.25
смесь,4.25
провокационный,4.25
марина,4.25
грин,4.24
полдень,4.23
що,4.23
гусар,4.21
;)))))))))))),4.21
колыма,4.21
тверкать,4.21
шведов,4.21
порвалооооооооо,4.21
#ЧМ2018,4.21
00000000,4.21
дагагчтать,4.21
говнотролль,4.21
злобин,4.21
яподстал,4.21
 ))))),4.21
:))))))))))))))))))))))))),4.21
Өглөөний,4.21
режущий,4.21
Хыхыхыхыхы,4.21
))))),4.21
;)))))))))),4.21
курвамать,4.21
гіляку,4.21
:):)):))):))))):))))),4.21
#Калининград,4.21
#today,4.21
K1mMaBS36q,4.21
ньюс,4.21
"#NiallDay
найл",4.21
3Ziiqmc9et,4.21
:-) ))))))))))))),4.21
михеев,4.21
:):):)))))),4.21
ахахахахахахахах,4.21
ботоксный,4.21
)))))))))))))))))))))))))))))))))))))))))))))))),4.21
осман,4.21
умираююююю,4.21
#Иваново,4.21
хуйлопутинский,4.21
;))))),4.21
укрокамент,4.21
#историю,4.21
джентельменский,4.21
охренительный,4.21
Бггггггггг,4.21
доброутречко,4.21
lol,4.21
рэб,4.21
расый,4.21
#КрымНаш,4.21
москаляк,4.21
ихэсминец,4.21
ипотечница,4.21
пипецосман,4.21
асфальтный,4.21
змей,4.21
")) """"",4.21
:):))))):)))))),4.21
наклз,4.21
... :,4.21
атракцион,4.21
ггг,4.21
приветикти,4.21
#IHeartAwards,4.21
: :/,4.21
батька,4.21
якобы,4.21
животворящий,4.19
лентааа,4.19
перископ,4.19
позитив,4.17
феодосия,4.17
ущерб,4.17
надька,4.16
бориваться,4.16
камуфляжный,4.16
ахахахахахха,4.16
ямка,4.16
кивать,4.16
БПП,4.14
цех,4.14
загораться,4.14
укро,4.13
капитал,4.13
попугай,4.12
клок,4.12
полчаса,4.12
злить,4.11
низззя,4.11
биль,4.11
аааааааааааааааааахахахах,4.11
ненадо,4.11
крыть,4.11
!!!))))),4.11
:):)):))))))))),4.11
именинысердце,4.11
ряженый,4.11
болгарка,4.11
ржунемогать,4.11
сфотогрофировать,4.11
ахеджакова,4.11
чудненький,4.11
:)))))))))))))))))))))))))))))))))))))),4.11
сссууукааааааааааа,4.11
посмеиться,4.11
:)))) (,4.11
череда,4.11
задорон,4.11
ыгыгыгыгыгыгыг,4.11
штырить,4.11
тяпницееей,4.11
приветуля,4.11
змянин,4.11
бельгийский,4.11
!......,4.11
путинососс,4.11
!!!! )))))),4.11
DIRECTIONERS,4.11
вуаль,4.11
забабахать,4.11
🍰,4.11
прикольненек,4.11
шиперять,4.11
87К,4.11
григорьевич,4.11
fg2JHMsHZ9,4.11
:):):):):))))))))),4.11
человизор,4.11
lidder99,4.11
спасибок,4.11
:):))):):::)):)),4.11
)))) *,4.11
астральный,4.11
viktorinini,4.11
онвчера,4.11
! :)))),4.11
сидиш,4.11
͡°) ( ͡~,4.11
скомуниздить,4.11
вольфович,4.11
сноудно,4.11
мел,4.11
:-) :-) :-) :-) :-) :-),4.11
ТСН,4.11
:))):)))),4.11
отара,4.11
трепетать,4.11
котичок,4.11
бГГГ,4.11
:*:*,4.11
прогиб,4.11
!!!;)))))))),4.11
грушный,4.11
прорастать,4.11
повеселить,4.11
:):):)):))):)))))))))):)))))),4.11
! )))))),4.11
fulcrum,4.11
чистосердечный,4.11
мыть,4.11
жевать,4.08
строчить,4.08
порноактер,4.07
треснуть,4.07
💟,4.06
ввп,4.06
разносить,4.05
мозырь,4.05
БЛЯЯЯЯЯ,4.05
прикатить,4.05
приземляться,4.05
that,4.05
лама,4.05
селение,4.05
рвать,4.03
🍃,4.02
пелевин,4.02
викуля,3.99
folloback,3.99
...)))))),3.99
анус,3.99
#твитдождю,3.99
усэ,3.99
!!! )))),3.99
вышеуказанный,3.99
мойша,3.99
нарын,3.99
килограмм,3.99
орлов,3.99
ҳам,3.99
..!!))),3.99
адресный,3.99
чулпан,3.99
:):)):):):)))),3.99
дя,3.99
хахахахахахахахахахах,3.99
:*****,3.99
#НамКрыш,3.99
снофффффф,3.99
Yuri,3.99
нэгэнд,3.99
robabayan,3.99
сухарь,3.99
вылизывать,3.99
Beautiful,3.99
очиж,3.99
сучить,3.99
панос,3.99
фельдман,3.99
#взаимныйфоллоу,3.99
)))))))(,3.99
налицо,3.99
ахахаххахахахахаа,3.99
док,3.99
бусинка,3.99
уе,3.99
всеисправлять,3.99
венька,3.99
припадок,3.99
хүрэг,3.99
юххху,3.99
шд,3.99
"""""))))))))))",3.99
манипчики,3.99
))))))) (,3.99
хоцца,3.99
CEKAC,3.99
неугомонный,3.99
юморить,3.99
#Ланжерон,3.99
крутооооооооо,3.99
эрнестик,3.99
:)))))))))))))))))))))))),3.99
:)):):)):):)):):)),3.99
DONE,3.99
#почтароссии,3.99
рыть,3.99
:):)):)))):)))))),3.99
ольоша,3.99
выползать,3.99
"#духовныескрепы
#православненько",3.99
здрастовать,3.99
лезгинка,3.99
? )))),3.99
даддарио,3.99
өдрийн,3.99
:):)):):):)),3.99
караулов,3.99
специфика,3.99
судимость,3.99
чиж,3.99
ааааааааааааааааааааа,3.99
:)):))))):))))))),3.99
ссыкливый,3.99
)) )) )) )) )) )) )) )) )) )) )) )) )) )) )),3.99
"!"""")))",3.99
? )),3.99
лодыгин,3.99
мишико,3.99
распоряжение,3.99
надрывать,3.99
lad,3.99
хуйла,3.99
безмятежный,3.99
SIDOROV,3.99
өгөөрэй,3.99
отэто,3.99
Гггы,3.99
asurepin,3.99
:::::))))))))))))),3.99
скакашка,3.99
бут,3.99
мг,3.99
:-) ))))))))),3.99
трудоголик,3.99
